"PC1" "PC2" "PC3"
"GPRASP1" -0.0354569472676789 -0.0271921862961839 0.0114128867336254
"NDUFB6" 0.0157041369687941 -0.0195623115804875 -0.0203658246512938
"TMX4" -0.0138259187216954 -0.0379270084703931 0.0203418376371676
"CD81" 0.00844640365467918 0.00246806020302406 0.0470578585681953
"GHITM" 0.0160081971717355 -0.00469762125006272 -0.0352288300513076
"HOPX" 0.0273926775898486 -0.0374507582492724 0.0402970153881534
"FHL2" 0.0306507166857816 -0.0360090507934882 0.0165203615653578
"CD36" 0.0369798004748283 0.0237832818429789 -0.008412622212659
"RIT2" -0.0352633498852694 0.00971665140396908 0.0339766040249288
"NDUFA4" 0.0188312223963065 -0.0134559292536722 0.0140229799433856
"MTAP4" -0.0278730793453298 -0.0109036659159988 0.00345493837854466
"TUBB4B" -0.00266989809211911 0.0047099114906678 -0.00550633205434279
"RANGAP1" -0.0302721954777093 -0.0141996760500801 0.00224285143935503
"CALM3" -0.0306826446585639 -1.47513500837115e-05 0.00909885716042695
"UQCRH" -0.0113247327435677 0.0123017734417786 -0.021759094377736
"SYT1" -0.0414383852216745 -0.00444947191312395 -0.00694000564101737
"PCK1" 0.0185368541749695 0.0590307125539672 -0.0190731452000913
"NDUFS6" -0.01057153371283 0.0201574658324083 -0.0180434361245643
"EPRS" 0.0176832101567259 0.00164481444182216 -0.0288973191567086
"RPL39" 0.0308385205417542 -0.0111622965314902 0.0181858325529303
"NME7" -0.0223671949652762 -0.0498079735305239 0.0132775477944996
"COX7B" 0.0227222110968133 -0.0299001085719807 -0.0292050588155903
"MYH7" 0.0236270439329442 -0.032449880707347 0.0436758799706025
"RBM39" 0.0270525889214536 -0.0103443056736617 -0.0148805422161984
"CS" 0.0185988534561496 -0.0049453420368279 -0.0346162540209267
"PDK4" 0.0380194523503245 0.0128434187814705 -0.00114528961254576
"PAM" -0.00876857642259923 -0.0440392648437052 0.0266144903898489
"SCAMP1" -0.0324948089527502 -0.0202283937198848 0.00598438075572357
"RAN" 0.0221384866471807 -0.0224424777404547 0.00247835676614465
"RPS4X" 0.0210922558977924 0.00563626332623148 0.0235913723364022
"GCH1" -0.00835602789148022 0.0292923500671758 0.0622023183777889
"GAS5" 0.000225856801616446 0.00652273055896544 0.0304607376012626
"NPM1" 0.0252894092311176 -0.0313497555437902 -0.024779841602677
"CDK1" 0.0343865607031048 -0.0186265878285112 0.0172685254352027
"MPC2" 0.0216427711526012 -0.0129658128412328 -0.0350881339965907
"NDRG4" -0.0218830891529537 -0.0574362165792251 0.0137386138693627
"6330403K07RIK" -0.0350176525812492 0.000376911351351431 0.0354241018348498
"KIF5B" 0.0118222013902489 0.00899779157736164 -0.00783939330243141
"ACOT7" -0.0370003296240719 -0.00633794124161631 -0.00244881030869118
"MBNL2" 0.0122422329034991 0.0235134886797975 -0.00799755213894723
"MRFAP1" -0.00376013512578853 -0.0366620527755893 0.0042771226468936
"IDH2" 0.0347880437707087 -0.0088845288996503 0.018278371325396
"2010107E04RIK" 0.013029007357135 -0.038991197429569 -0.0172788636241585
"USE1" -0.00828487257319943 0.0249624053675484 0.0313914785063613
"QDPR" -0.0102580902875013 -0.0193345424556517 0.0201957957404325
"PCNA" 0.0281101420611088 -0.014977058162779 0.00786875292886128
"FSTL1" 0.0196508730424893 -0.0036652776260397 0.0300119165095586
"AKR1A1" -0.0187033988339402 0.0162795005568678 -0.0126100165892779
"TXN1" 0.0179982655981207 -0.0111968119285342 -0.026779394241431
"PRKAR2B" -0.00134543213971571 0.0313569966134608 -0.0303884089703518
"EIF5B" 0.00541800311182408 -0.0209863690874497 -0.0189780322928963
"LIMS1" 0.0327193628494404 -0.00064952324765201 -0.00929425275925985
"NDUFB5" 0.0135769747502012 -0.0196005619669356 0.00264717946069666
"DNAJC12" -0.0175750629519944 -0.00121333659838727 0.0528516571021111
"ACO2" 0.0242113756543169 0.00858393363180601 -0.00941863644296223
"A730017C20RIK" -0.0280763743373997 0.0173352457133665 0.0502845677372805
"PAICS" 0.0287767702530418 -0.0192989711329207 -0.00219259694571371
